niche,temp,actual_moist_group,geomean_nmol_c2h4_g_hr,mean_nmol_c2h4_g_hr,sd,n,mean_moist,sd_moist,sem
Lichen,5,"[1.21,40.3]",9.999999999999997e-6,0,0,6,31.406096466666668,8.724172789344141,0
Lichen,5,"(40.3,60.9]",9.999999999999997e-6,0,0,4,49.761014375,5.98937877460507,0
Lichen,5,"(60.9,99.2]",9.999999999999997e-6,0,0,3,91.58564343333333,13.174001391983191,0
Lichen,5,"(99.2,226]",3.6934488075985857e-4,0.8748880139239024,1.494202143058215,7,144.02263197142858,48.54586775635042,0.5647553255702562
Lichen,15,"[1.21,40.3]",0.00907211301982254,0.45714203415822685,0.5448420360023388,8,24.534819675,14.472174614093909,0.1926307491663694
Lichen,15,"(40.3,60.9]",1.0123573811103115e-4,0.026256333127411505,0.05251266625482301,4,52.48357435,8.257857892210833,0.026256333127411505
Lichen,15,"(60.9,99.2]",0.23418661835679486,15.30426907841093,27.770153421676415,6,78.69654216666666,10.740803863463531,11.337117660318594
Lichen,15,"(99.2,226]",9.999999999999997e-6,0,NA,1,126.11940299999999,NA,NA
Lichen,25,"[1.21,40.3]",1.4635793864727804,3.926341876166329,5.152508987855686,2,27.8353039,3.008375759641877,3.64337404543739
Lichen,25,"(40.3,60.9]",0.0011695357751885522,0.21982677102281983,0.4053163333225403,6,51.12054428333333,6.366851846963477,0.16546970017600837
Lichen,25,"(60.9,99.2]",0.003248596299073097,12.255450505812142,29.804583252917173,6,73.0400358,9.524843427013897,12.167670160991317
Lichen,25,"(99.2,226]",0.0026108069940128957,1.363546043434966,2.7798710620528246,6,144.35437848333333,32.0916230503016,1.134877608793029
Lichen,35,"[1.21,40.3]",4.797120174806808e-5,0.0013214220087727773,0.0026428440175455545,4,36.480698024999995,2.947474726883313,0.0013214220087727773
Lichen,35,"(40.3,60.9]",1.843223404508017e-4,4.255197017497023,9.514909788777707,5,47.86150584,7.688883014126479,4.255197017497023
Lichen,35,"(60.9,99.2]",2.4559380724825544e-4,0.9095120590551791,1.8190241181103581,4,81.18912655,8.613739893708424,0.9095120590551791
Lichen,35,"(99.2,226]",0.0012929613149089366,0.7874656746836746,1.1374455194948867,5,145.13974092,42.16977930974644,0.5086811004586258
Moss,5,"[20.1,41.9]",9.999999999999997e-6,0,0,9,33.78062383333334,6.524820348116301,0
Moss,5,"(41.9,62.7]",9.999999999999997e-6,0,0,3,48.226796433333334,5.703140634394218,0
Moss,5,"(62.7,109]",9.999999999999997e-6,0,0,4,72.210297525,8.607406476458609,0
Moss,5,"(109,434]",9.999999999999997e-6,0,0,3,163.71747853333332,20.775473526210014,0
Moss,15,"[20.1,41.9]",0.00378342518602438,0.050554844326499086,0.04746770442701063,3,34.30789716666666,3.1944392771329007,0.02740549192874818
Moss,15,"(41.9,62.7]",0.002519920192336249,0.32928158092626164,0.4060760282406019,4,51.55022665,7.318307615653083,0.20303801412030095
Moss,15,"(62.7,109]",0.0033286877398678795,0.562169183198713,0.6320837101060923,6,73.12555445,9.438736596281185,0.2580470940808682
Moss,15,"(109,434]",5.536087546336619e-4,0.5664182607904205,0.8794629193794379,6,223.65231606666666,116.56320916099139,0.35903923336301374
Moss,25,"(41.9,62.7]",1.9871699598363014e-4,0.40304595629223394,0.7777235627297446,8,54.650681825,6.74886864817059,0.2749668025473818
Moss,25,"(62.7,109]",6.555558335550891e-5,0.024212662903033297,0.05414116016746985,5,84.6190702,14.86140703923476,0.024212662903033297
Moss,25,"(109,434]",0.002564217317407596,0.4015762274893775,0.5453294764047328,6,184.51767765,72.55040083247356,0.22262982648178573
Moss,35,"[20.1,41.9]",8.531406154606543e-5,0.013259975611850754,0.02459800372930024,8,29.6657927875,7.0346374233116835,0.008696707620320092
Moss,35,"(41.9,62.7]",1.2486958378558414e-4,0.06077833543813714,0.12155667087627428,4,47.785227725,5.863289615112977,0.06077833543813714
Moss,35,"(62.7,109]",1.7505958230152057e-4,0.23478964326468246,0.4695792865293649,4,66.5063726,1.7672263830574977,0.23478964326468246
Moss,35,"(109,434]",1.5333885779753536e-4,0.13821050339416557,0.27642100678833115,4,202.53553367499998,55.69768715964601,0.13821050339416557
